Время,Время моделирования,Квазистац - линейная
0,0,-21564.9
0,338.018,-16795.7
0,674.977,-22156.6
0,1012.99,-18485
0,1350.4,-201.196
0,1686.84,515.807
0,2022.94,-9331.64
0,2359.64,-12093.8
0,2696.66,-10313
0,3033.6,-9940
0,3370.85,-3222.78
0,3707.49,-17730.6
0,4045.14,-7442.47
0,4382.31,-7910.74
0,4719.22,1550.75
0,5055.75,7944.88
0,5391.63,-13184.8
0,5728.84,-382.238
0,6065.48,-3955.13
0,6401.69,-9921.55
0,6738.59,151.109
0,7074.74,-138.113
0,7411.73,-1997.25
0,7748.75,-5514
0,8085.95,-10645.5
0,8423.39,-2157.37
0,8760.01,-8906.57
0,9096.94,4261.05
0,9432.93,181.51
0,9769.36,-10239.5
0,10106.9,-4807.14
0,10443.6,-3114.35
0,10780.8,-12634.2
0,11118.4,-13069.5
0,11456,10421.8
0,11791.9,-16466.7
0,12129.5,-8415.28
0,12466.6,-1593.9
0,12803.4,2850.88
0,13140.2,-8183.72
0,13477.1,-7200.54
0,13814.3,-2376.44
0,14151.2,-12699.4
0,14489,-1795.34
0,14826.3,-5975.09
0,15163.2,1228.89
0,15499.6,-5586.31
0,15836.9,-3700.99
0,16173.4,-5681.59
0,16510.6,-16697.4
0,16848.7,-15381.4
0,17186.5,-7060.57
0,17524,-8749.6
0,17861.2,11111.6
0,18197,-21664.2
0,18535.5,-19859.4
0,18873.2,-8022.16
0,19210.5,-18449.1
0,19548.1,-17631
0,19885.8,8764.05
0,20222.1,-4942.34
0,20559.3,-6080.19
0,20896.1,-10043.3
0,21233.8,-4087.41
0,21571.4,-7563.97
0,21908.2,3961.89
0,22244.8,-4767.87
0,22582.1,-9855.75
0,22919.7,281.876
0,23256.4,-3524.3
0,23593.6,-2860.91
0,23930.6,4778.52
0,24267.1,-1741.35
0,24603.9,3237.45
0,24941,3293.95
0,25278.1,10544.9
0,25614.5,-5493.61
0,25952,-2392.07
0,26289.3,-5112.51
0,26626.6,-5369.8
0,26964.2,10702.2
0,27299.9,-9715.72
0,27637.9,-3953.42
0,27975,-5414.9
0,28312,3277.43
0,28648.6,-2376.85
0,28985.9,2468.72
0,29322.5,-9600.62
0,29660.2,-5286.62
0,29997.6,1509.03
0,30334.9,98.3073
0,30671.8,-10350.8
0,31010,-3379.03
0,31347.6,14122.9
0,31683.8,-13076.6
0,32022.4,-6555.05
0,32360.1,9224.94
0,32696.5,-8540.03
0,33034.3,-17446.4
0,33372.7,2693.48
0,33709.8,-2871.58
0,34046.8,14313.7
0,34383.2,906.868
0,34720.3,71.3966
0,35057.4,5159.7
0,35394.4,-4635.1
0,35731.8,6292.27
